modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,4,average_length,2,SVC,down,0.5940680262025743,0.09961357359474872,0.5474999999999999,0.06155144390600093,0.5409484503284814,0.06313053163142764,0.6999999999999998,0.20446749979795106,0.395,0.19592509849423972,0.5474999999999999,0.061551443906000924
text,Out,14,4,unique_contacts,10,SVC,up,0.5938692814395546,0.09447226987654998,0.5733333333333335,0.08144321109212625,0.5688148576140063,0.08563370019415656,0.6375,0.14231876063832777,0.5091666666666664,0.14977302318383354,0.5733333333333334,0.08144321109212624
text,Out,14,4,unique_contacts,8,SVC,down,0.5936986232791469,0.09227618195396124,0.5779166666666665,0.07826663648121754,0.5736043613249496,0.07802806090195272,0.6316666666666667,0.14466765969650958,0.5241666666666667,0.1427714890726837,0.5779166666666665,0.07826663648121754
text,Out,14,12,combined,1,LR,up,0.593530541300999,0.08916226818506012,0.5770833333333336,0.07334380664421483,0.5702485345322034,0.07145161196779526,0.6316666666666668,0.13923189966929952,0.5225000000000001,0.12128601493424851,0.5770833333333336,0.07334380664421479
text,Out,14,12,combined,2,LR,up,0.5934234008718416,0.08044366182799996,0.5800000000000002,0.07074043224499517,0.579484808191465,0.07256655150442376,0.6258333333333335,0.13530476469454436,0.5341666666666665,0.15310799941128533,0.5800000000000002,0.07074043224499517
text,Out,14,12,combined,1,LR,down,0.5932027278578774,0.09010130193236349,0.5775000000000001,0.07561476438231222,0.5715986411249568,0.07466415696653211,0.6300000000000001,0.13980505908390634,0.525,0.12394334537179828,0.5775000000000001,0.07561476438231218
text,Out,14,12,average_length,15,KNN,up,0.5930378507674682,0.08807357967175766,0.57,0.08701464716672028,0.566409942482698,0.08428847225560314,0.6341666666666669,0.12695994313362716,0.5058333333333332,0.1471078267203324,0.57,0.08701464716672028
text,Out,14,4,unique_contacts,12,SVC,down,0.5923283997501959,0.10033591320656761,0.5774999999999999,0.07630734858328815,0.5718527143650983,0.07942569223628518,0.6325,0.14986666352133432,0.5225,0.1395715546062981,0.5774999999999999,0.07630734858328815
text,Out,14,4,unique_contacts,9,SVC,down,0.5922866730990711,0.0922002702307451,0.5787499999999998,0.07004663149369794,0.5736816166719418,0.07004154822373025,0.6299999999999999,0.1485621320212761,0.5275,0.13916890963736145,0.5787499999999998,0.07004663149369796
text,Out,14,12,average_length,12,KNN,down,0.5921071677199731,0.08828718528845092,0.57375,0.08660557773189957,0.5725734639027984,0.08810479594512892,0.6266666666666668,0.12673044646258474,0.5208333333333333,0.14952928386776532,0.57375,0.08660557773189954
text,Out,14,12,average_length,14,KNN,up,0.5920865074261629,0.0918707611275942,0.5725000000000001,0.08915285931046925,0.5683789103053808,0.0873192966078354,0.6275,0.12448265556935313,0.5174999999999997,0.13623474080267214,0.5725000000000001,0.08915285931046925
text,Out,14,6,average_length,1,LR,down,0.5920378160497569,0.0855451973918784,0.5808333333333333,0.07671989807698365,0.5828873487623488,0.08426886687458963,0.6208333333333336,0.13781147763159413,0.5408333333333332,0.16175203410999361,0.5808333333333333,0.07671989807698366
text,Out,14,12,combined,2,LR,down,0.5917945041806781,0.08102832759440319,0.5804166666666668,0.07473648994495881,0.5831382700117221,0.0817774372259976,0.6200000000000003,0.13469423326879965,0.5408333333333332,0.16000797889757448,0.5804166666666668,0.07473648994495882
text,Out,14,4,unique_contacts,2,LR,up,0.5916062358751011,0.1043913422867608,0.5674999999999999,0.09208658030139318,0.559574180377586,0.08732140736338714,0.6416666666666668,0.15375034787766442,0.4933333333333333,0.14148086448999034,0.5674999999999999,0.0920865803013932
text,Out,14,4,unique_contacts,4,SVC,down,0.5913897989443938,0.0903933931354105,0.5658333333333335,0.07725745871466562,0.5586789179602648,0.07239076186831074,0.6433333333333334,0.14461916394921268,0.48833333333333356,0.13401551076955157,0.5658333333333335,0.07725745871466562
text,Out,14,4,unique_contacts,8,SVC,up,0.5912333575695548,0.08830012215734215,0.57375,0.07649900236286765,0.5703926881941589,0.07700017966470729,0.6300000000000002,0.13980505908390636,0.5174999999999997,0.14807737156154088,0.5737499999999999,0.07649900236286766
text,Out,14,4,average_length,3,SVC,down,0.590962315565258,0.09399698480015449,0.5445833333333332,0.062466320892071464,0.5394152351776195,0.06245580782612389,0.69,0.1921144673746234,0.3991666666666667,0.19616661588984635,0.5445833333333332,0.06246632089207146
text,Out,14,6,average_length,1,LR,up,0.5909305252813678,0.08328248367890285,0.5783333333333335,0.07474235581707617,0.5801460549254668,0.08169420357008933,0.6216666666666668,0.13732452327009195,0.5349999999999998,0.16419890213177266,0.5783333333333335,0.07474235581707617
text,Out,14,12,average_length,2,LR,up,0.5901531147097847,0.08198196750521901,0.5800000000000001,0.0750701131311382,0.5816002632987928,0.08031924495415282,0.6158333333333335,0.13342536806767857,0.5441666666666667,0.1523547863387109,0.5800000000000001,0.0750701131311382
text,Out,14,12,average_length,12,KNN,up,0.5899852583000286,0.09136927287692907,0.5720833333333335,0.08181594101558003,0.5682422542627653,0.08299952314343026,0.6266666666666668,0.13320701086695003,0.5175000000000002,0.13928982534026707,0.5720833333333335,0.08181594101558003
text,Out,14,4,combined,1,LR,down,0.5899349924856518,0.09282852796999547,0.5766666666666669,0.07554515674132067,0.5720853498926253,0.07802530445053735,0.6241666666666664,0.1438483231300944,0.5291666666666667,0.13524253891513202,0.5766666666666669,0.07554515674132069
text,Out,14,12,unique_contacts,1,LR,up,0.5898948054610724,0.09305424535671139,0.5520833333333335,0.07638888888888891,0.5415176601863909,0.06969014565513959,0.6608333333333333,0.14994153368606775,0.4433333333333331,0.12415822062431907,0.5520833333333335,0.0763888888888889
text,Out,14,24,combined,2,LR,up,0.5898241663059656,0.08427266272768821,0.59,0.07461084974795713,0.5986719437683061,0.09095438182071572,0.6016666666666667,0.13482956777235106,0.5783333333333335,0.16058779516235544,0.59,0.07461084974795713
text,Out,14,12,average_length,5,LR,down,0.5894072979713333,0.08667064953937649,0.5808333333333333,0.085169172115196,0.5863731718487911,0.09670019501441572,0.6091666666666665,0.12684939416135238,0.5525000000000001,0.16482781887940887,0.5808333333333333,0.08516917211519602
text,Out,14,4,combined,3,LR,down,0.5889651460160694,0.07938509825406195,0.5629166666666668,0.07549290889169191,0.562246351429788,0.0784646072680488,0.6374999999999998,0.13524253891513205,0.48833333333333323,0.16583123951776998,0.5629166666666668,0.07549290889169188
text,Out,14,12,average_length,13,KNN,down,0.5888359307863926,0.09004801565373842,0.5704166666666667,0.08326912509546297,0.5667729655964948,0.0809008041736387,0.6258333333333335,0.13478533875050192,0.5149999999999999,0.1442792373021784,0.5704166666666667,0.08326912509546296
text,Out,14,4,unique_contacts,2,LR,down,0.5886415755689431,0.10077477872125594,0.5654166666666669,0.0882900837517379,0.5577282738331499,0.08120227575169421,0.6366666666666667,0.1495972895677449,0.49416666666666637,0.1346603783910379,0.5654166666666669,0.08829008375173791
text,Out,14,4,combined,4,LR,up,0.5881329375496486,0.09034026109569966,0.5566666666666665,0.07756102553718168,0.5507966646786305,0.07525985988128285,0.6491666666666669,0.15089287196658918,0.4641666666666665,0.15500217224501533,0.5566666666666665,0.07756102553718168
text,Out,14,4,unique_contacts,11,SVC,up,0.5880089631845773,0.08149334915644588,0.5708333333333333,0.06419557484285941,0.5691318091523201,0.06940673180731753,0.6291666666666668,0.14572807649296327,0.5124999999999998,0.15369330823634772,0.5708333333333334,0.0641955748428594
text,Out,14,4,unique_contacts,5,SVC,up,0.5879937501373952,0.09721791257700699,0.5620833333333334,0.07479278332640411,0.5536376324483911,0.06973321520481895,0.6450000000000001,0.15696511439822267,0.47916666666666663,0.14033339731438035,0.5620833333333334,0.07479278332640411
text,Out,14,4,average_length,11,LR,up,0.5876992964131103,0.08594028960807978,0.5679166666666666,0.08155832674949462,0.5671746116370731,0.0850879599689857,0.6258333333333332,0.13268730276199622,0.5100000000000002,0.15636513715250844,0.5679166666666666,0.0815583267494946
text,Out,14,4,combined,3,LR,up,0.5874742732637815,0.0814887444378347,0.5587499999999999,0.07769092372748332,0.5568231461091367,0.07797962162092321,0.6391666666666669,0.1335094585904267,0.47833333333333333,0.16006276827156418,0.5587499999999999,0.07769092372748329
text,Out,14,12,average_length,14,SVC,up,0.5874668784627811,0.08803300751366469,0.6020833333333334,0.07382045703287952,0.617356568268333,0.09744904530993866,0.5783333333333334,0.13179882980359958,0.6258333333333334,0.14482031515383817,0.6020833333333334,0.07382045703287952
text,Out,14,24,combined,2,LR,down,0.587460913940538,0.08885576047595223,0.5875000000000001,0.07755650342392027,0.5971142677841594,0.09479120697685077,0.6008333333333333,0.13979251500091333,0.5741666666666668,0.16912953018263246,0.5875000000000001,0.07755650342392027
text,Out,14,6,combined,2,LR,up,0.5873205300461867,0.07843930912411724,0.5708333333333332,0.0743235487513204,0.5730684112499129,0.08333038344963098,0.6208333333333336,0.12995239998794272,0.5208333333333334,0.1647086159573774,0.5708333333333332,0.07432354875132043
text,Out,14,4,unique_contacts,12,SVC,up,0.5872992636191561,0.08842994604710798,0.57,0.0677521064150869,0.5659546957170798,0.06915562452128877,0.6291666666666665,0.1442768063739405,0.5108333333333334,0.14097175573391493,0.57,0.06775210641508689
text,Out,14,4,average_length,10,SVC,up,0.5870154806588891,0.09848499930515325,0.5566666666666668,0.07619235507543813,0.5560027164098372,0.08409062526897265,0.6566666666666666,0.1828352585309111,0.45666666666666683,0.20152337898700226,0.5566666666666668,0.07619235507543813
text,Out,14,4,average_length,12,SVC,up,0.5865914355364948,0.10003042212910625,0.5595833333333332,0.0779523203865516,0.5596681154243076,0.08554157976814282,0.6508333333333333,0.17912016858067134,0.46833333333333327,0.2005813660327177,0.5595833333333333,0.07795232038655159
text,Out,14,12,average_length,2,LR,down,0.5865460542450205,0.08135858124176075,0.5754166666666665,0.07714729123860764,0.5770853901000959,0.08014526660119184,0.6116666666666667,0.12768991269757293,0.5391666666666667,0.15327284343363376,0.5754166666666665,0.07714729123860765
text,Out,14,4,unique_contacts,13,SVC,up,0.5862974335869329,0.0960754228996561,0.5716666666666664,0.07700736770033553,0.5685418960983977,0.08239769445571908,0.6233333333333332,0.14625899878307677,0.52,0.14560528104284037,0.5716666666666664,0.07700736770033553
text,Out,14,12,average_length,15,SVC,down,0.5862348948396394,0.08422877437275043,0.6070833333333333,0.07473648994495882,0.6322706501015324,0.10708167952214437,0.5666666666666664,0.12701794282787168,0.6475,0.15840420175474448,0.6070833333333333,0.07473648994495884
text,Out,14,4,average_length,10,LR,up,0.5859484671575593,0.09505047277734448,0.5670833333333332,0.08801954143554154,0.5669925129480083,0.08884158704298806,0.6266666666666665,0.15097884883192345,0.5075000000000002,0.1720897992034943,0.5670833333333332,0.08801954143554154
text,Out,14,24,average_length,3,LR,up,0.5857572871724643,0.08690228863383898,0.5758333333333332,0.07798043583242553,0.5764610368132043,0.07772397162982769,0.6124999999999999,0.13781147763159413,0.5391666666666667,0.15372981604487032,0.5758333333333332,0.07798043583242556
text,Out,14,4,average_length,12,LR,down,0.5856542033589913,0.09189748396192611,0.5666666666666669,0.0852062263575909,0.5656755997270705,0.0877503198478844,0.6241666666666664,0.140393366718769,0.5091666666666671,0.15930501065488523,0.5666666666666669,0.0852062263575909
text,Out,14,4,unique_contacts,4,LR,down,0.5855495834916329,0.09058633587220553,0.5658333333333332,0.07703013679923361,0.5614796683794362,0.07627658500750945,0.6274999999999998,0.14087220291211067,0.5041666666666667,0.14281078893622887,0.5658333333333332,0.07703013679923361
text,Out,14,24,unique_contacts,2,RFC,up,0.5853624424229809,0.09260948376920666,0.5862500000000003,0.08463938656190605,0.5921357939446176,0.09782330268929836,0.5933333333333334,0.12990111062252396,0.5791666666666664,0.14476217967556992,0.5862500000000003,0.08463938656190605
text,Out,14,4,unique_contacts,7,SVC,down,0.5852745255535691,0.08889988352497928,0.5654166666666668,0.07681926512893428,0.5615975986517782,0.07514983877603959,0.6266666666666669,0.1388787875114517,0.5041666666666667,0.1462086320478289,0.5654166666666668,0.07681926512893426
text,Out,14,4,unique_contacts,1,SVC,down,0.5848933732490401,0.09089200747517256,0.54625,0.07274842302586165,0.5379560792234943,0.06479112505367411,0.6583333333333334,0.15824691953427578,0.4341666666666667,0.14617024574358742,0.5462499999999999,0.07274842302586165
text,Out,14,4,unique_contacts,14,SVC,up,0.5847674093928081,0.09968564044525857,0.5674999999999999,0.06900873413710318,0.5616307509569896,0.06973504048125455,0.6299999999999999,0.15043893877098763,0.5049999999999997,0.14642197218789926,0.5674999999999999,0.06900873413710318
text,Out,14,4,unique_contacts,11,SVC,down,0.5847476300575699,0.09436547237910207,0.5720833333333332,0.07534409468442725,0.5701419292351956,0.081493599914749,0.6191666666666665,0.14663021815240154,0.5249999999999999,0.1457882325642531,0.5720833333333332,0.07534409468442727
text,Out,14,24,combined,3,LR,down,0.5847114319787529,0.09177935112337744,0.5866666666666667,0.08134841445431622,0.594618911832921,0.09746392881276501,0.5933333333333333,0.13622701723397926,0.5800000000000001,0.16019418631412313,0.5866666666666667,0.08134841445431619
text,Out,14,4,unique_contacts,6,SVC,down,0.5846932269728422,0.09008870706707668,0.5629166666666667,0.07118894690621687,0.5574550276005388,0.06929221171935454,0.6325,0.1484558567862562,0.49333333333333323,0.14393850788314913,0.5629166666666667,0.07118894690621685
text,Out,14,6,combined,2,LR,down,0.5846066392683004,0.08008979909676796,0.57125,0.07284478178596983,0.5745560948339586,0.08405452414397488,0.6150000000000001,0.1338898319259299,0.5275000000000002,0.16668981320752776,0.57125,0.07284478178596983
text,Out,14,24,unique_contacts,3,KNN,up,0.5845624667880241,0.09757874832683969,0.5787500000000001,0.08959923709742149,0.57860287455063,0.08832322301331706,0.6033333333333332,0.13665886485081022,0.5541666666666664,0.14476217967556992,0.5787500000000001,0.0895992370974215
text,Out,14,12,average_length,11,KNN,up,0.5845502192171176,0.09045191689082908,0.5666666666666668,0.08033320060902459,0.5633257411233419,0.07725435173446533,0.6225,0.13987277769242284,0.5108333333333336,0.14634290482030823,0.5666666666666668,0.08033320060902457
text,Out,14,12,average_length,4,LR,up,0.5845177529630584,0.09088789866283824,0.5712499999999998,0.08750000000000006,0.573208751817498,0.090170371964503,0.6125000000000003,0.13209388135133343,0.53,0.16477035680790345,0.5712499999999998,0.08750000000000005
text,Out,14,24,unique_contacts,3,KNN,down,0.5844509359628343,0.09462971349142511,0.5795833333333331,0.08645155088807827,0.5789953023842345,0.08530049547036898,0.6008333333333333,0.1309846805240465,0.5583333333333332,0.1373653815046379,0.5795833333333331,0.08645155088807828
text,Out,14,24,unique_contacts,2,RFC,down,0.5844455681764135,0.09686327267897665,0.5941666666666666,0.089936222570168,0.6051704170012995,0.10792116384750537,0.5775000000000001,0.12323672164695701,0.6108333333333335,0.145573963675213,0.5941666666666665,0.08993622257016802
text,Out,14,12,average_length,13,SVC,up,0.5843587586167941,0.09072799063157809,0.6050000000000001,0.07264831572567791,0.6256412558030207,0.1012491717642509,0.5700000000000001,0.141500695012828,0.6399999999999999,0.15483237378876544,0.6050000000000001,0.0726483157256779
text,Out,14,4,unique_contacts,6,SVC,up,0.5843061422544537,0.0943335061906214,0.5591666666666666,0.07883035956549728,0.5524228319410209,0.0735928070947567,0.6358333333333334,0.149191141268497,0.4825,0.13979251500091341,0.5591666666666666,0.07883035956549729
text,Out,14,12,average_length,13,KNN,up,0.584072299489757,0.0896664500121472,0.5645833333333333,0.08063279995592218,0.5609971583713843,0.08060564169711101,0.6225000000000002,0.13424300377617718,0.5066666666666667,0.14246900936958876,0.5645833333333334,0.08063279995592217
text,Out,14,12,average_length,11,KNN,down,0.5840678047043437,0.09775323202347799,0.5691666666666664,0.09082873833866152,0.5692207934824034,0.08964452425117006,0.6174999999999999,0.1446264393479755,0.5208333333333333,0.16682442029087707,0.5691666666666664,0.09082873833866152
text,Out,14,24,combined,1,LR,up,0.5839937472914045,0.10001231229605867,0.5770833333333334,0.07975811320344338,0.5726723753972205,0.07952407672016625,0.6116666666666667,0.15588889248867857,0.5424999999999999,0.12838841793006822,0.5770833333333334,0.07975811320344335
text,Out,14,4,unique_contacts,3,LR,up,0.5838536886427456,0.09041586106555506,0.5574999999999999,0.08050329199757417,0.5520562951840041,0.07509640744555691,0.634166666666667,0.14306597490740597,0.480833333333333,0.14402376580913687,0.5574999999999999,0.08050329199757417
text,Out,14,4,unique_contacts,15,SVC,up,0.5835775383500602,0.09970427028119895,0.5641666666666668,0.07708475519664151,0.5591824759777547,0.08456108457716192,0.6291666666666667,0.1541490343907203,0.4991666666666665,0.1509858177833838,0.5641666666666667,0.0770847551966415
text,Out,14,4,average_length,15,SVC,up,0.5833528078107766,0.09850507501213723,0.5591666666666665,0.07565186226968196,0.560195192234666,0.09406699374559963,0.6416666666666666,0.17627999104067912,0.4766666666666668,0.19429287021500838,0.5591666666666665,0.07565186226968199
text,Out,14,24,unique_contacts,1,KNN,up,0.583200575615378,0.10077303263636496,0.5924999999999998,0.09430694090114702,0.6047232256048047,0.10722125134978046,0.5800000000000002,0.13655616786114172,0.6049999999999999,0.15830010283926715,0.5924999999999998,0.09430694090114702
text,Out,14,12,average_length,3,LR,up,0.5831198952072915,0.0903076486971326,0.5724999999999997,0.09013099956136297,0.5786840661488494,0.10500756425459405,0.6049999999999998,0.12735987877090146,0.54,0.17019827349531377,0.5724999999999997,0.09013099956136297
text,Out,14,12,average_length,12,SVC,down,0.5829651481492268,0.09089063781542922,0.6041666666666666,0.07549407034786236,0.6258430833872013,0.10303125835676785,0.5658333333333333,0.13415937303721037,0.6425,0.16123079845479388,0.6041666666666667,0.07549407034786236
text,Out,14,4,unique_contacts,4,LR,up,0.5829019138382181,0.0839667166695488,0.5616666666666668,0.07384539617657875,0.5583945593450237,0.07212944152733271,0.6250000000000001,0.13530735681433145,0.498333333333333,0.14310764472870754,0.5616666666666668,0.07384539617657875
text,Out,14,12,average_length,4,LR,down,0.582662108963597,0.09441886474953258,0.5699999999999997,0.08998690514537715,0.5718839623139156,0.09225307338895172,0.6108333333333335,0.13815716338914577,0.5291666666666667,0.16470861595737743,0.5699999999999997,0.08998690514537716
text,Out,14,4,unique_contacts,3,SVC,up,0.5826329106195346,0.08855668192571955,0.5529166666666666,0.069534033120948,0.5454756674783764,0.06170400768662163,0.6425000000000002,0.15365679175381838,0.4633333333333332,0.1377834798429066,0.5529166666666665,0.069534033120948
text,Out,14,4,unique_contacts,5,SVC,down,0.5824166733611909,0.091877569990799,0.5579166666666668,0.07004663149369797,0.5525716142302829,0.06640973126353242,0.6366666666666666,0.15602382620431518,0.47916666666666674,0.14999766178499316,0.5579166666666668,0.07004663149369793
text,Out,14,4,average_length,13,SVC,up,0.58226879328465,0.11545615101877651,0.5583333333333332,0.07789493341003628,0.5517752084946358,0.0927054768554133,0.6475000000000003,0.1901971184936229,0.46916666666666645,0.18336202713929892,0.5583333333333332,0.0778949334100363
text,Out,14,4,unique_contacts,14,SVC,down,0.5822448171934395,0.08901409170788123,0.5704166666666666,0.07318103829463633,0.5716900153510062,0.08235017028728642,0.6141666666666665,0.14245669986202122,0.5266666666666665,0.15618559278608063,0.5704166666666666,0.07318103829463635
text,Out,14,4,unique_contacts,4,SVC,up,0.5822185126824349,0.09078905929137177,0.5570833333333334,0.06664956640955265,0.550082294253734,0.06294694528007341,0.6375,0.1564077486519892,0.47666666666666674,0.14167904481474458,0.5570833333333334,0.06664956640955264
text,Out,14,12,combined,4,LR,up,0.5821146653227253,0.09287751817720825,0.56875,0.07842779425264731,0.5677621637908016,0.0839259160260545,0.6158333333333333,0.14788776570694157,0.5216666666666666,0.15830010283926715,0.56875,0.07842779425264731
text,Out,14,4,average_length,12,LR,up,0.5819385784087799,0.09215826626400922,0.56125,0.08912039769993899,0.5605641869310599,0.09002653603332864,0.6199999999999999,0.1352140091958976,0.5025000000000004,0.15911114990688538,0.56125,0.08912039769993899
text,Out,14,6,combined,3,LR,up,0.5819104179890697,0.08594553400289998,0.5650000000000001,0.08127077132404331,0.5682543751827808,0.0917385743598658,0.6166666666666668,0.13914118498945366,0.5133333333333332,0.17234436854521248,0.5650000000000001,0.0812707713240433
text,Out,14,12,average_length,7,LR,up,0.5819086350188851,0.08764343425150181,0.5800000000000002,0.07221250905934831,0.581917316343787,0.08156964251164735,0.5966666666666667,0.13013849136987468,0.5633333333333332,0.1340678421826787,0.5800000000000002,0.07221250905934831
text,Out,14,24,combined,3,LR,up,0.5817677447917656,0.09236929752811629,0.5879166666666665,0.07650817133211074,0.5972078245541869,0.09238714946310425,0.5874999999999998,0.14033339731438038,0.5883333333333333,0.15794520921305524,0.5879166666666665,0.07650817133211074
text,Out,14,4,unique_contacts,8,LR,down,0.5817497464909853,0.0976991375236453,0.5674999999999998,0.09074374694394985,0.5684900565121154,0.09744554659622916,0.6124999999999998,0.13730153517002236,0.5225,0.16702612751521023,0.5674999999999998,0.09074374694394986
text,Out,14,24,unique_contacts,1,LR,up,0.5815831711344611,0.09572794499371945,0.56125,0.08108390819607901,0.5528966319628084,0.0713786149026699,0.6249999999999999,0.14770029106959356,0.49749999999999983,0.115721883985792,0.56125,0.08108390819607898
