,modality,direction,day,interval,variable,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
102,text,In,14,6,counts,up,0.5156858145209458,0.04699176404797286,0.4627083333333335,0.04642401364821741,0.5334138882480547,0.043319315808168016,0.5012727272727274,0.0600667464121618,0.4109756097560977,0.08073528364000654,0.4561241685144126,0.048050105732488836
103,call,In,14,24,unique_contacts,down,0.515033511963923,0.07716264533588257,0.5252459016393441,0.05749733092998838,0.6207012292373636,0.07389461078373988,0.4454285714285711,0.08586758777551334,0.6326923076923078,0.09186227031761997,0.5390604395604395,0.057305555276256324
104,text,In,14,4,counts,down,0.5141486355769835,0.057989123341972676,0.4802083333333333,0.04864491970064685,0.5527091886653503,0.0498990768672914,0.4840000000000002,0.07399176215306946,0.4751219512195123,0.08118839234031855,0.4795609756097562,0.048681111016980916
105,call,All,14,12,unique_contacts,down,0.5118811782372747,0.06387571576948818,0.5171428571428571,0.05192640241514751,0.5867893789153471,0.06165476621889888,0.4587179487179485,0.0761765554336726,0.5906451612903225,0.09154952626336896,0.5246815550041357,0.052796472419785495
106,call,All,14,6,unique_contacts,down,0.5109920063820064,0.06298556419961987,0.5118571428571427,0.04813808044265327,0.5765636549922661,0.05401462131045452,0.4620512820512817,0.07486498250026911,0.5745161290322578,0.07201382522585588,0.5182837055417701,0.04745832129454886
107,call,Out,14,6,average_length,up,0.5103837058680847,0.05930811685715792,0.5056060606060605,0.04909203330194415,0.554835871389999,0.052523144646284436,0.4763888888888887,0.07546825599581758,0.5406666666666667,0.08186655260523533,0.5085277777777776,0.049240165852266884
108,call,All,14,4,unique_contacts,down,0.5093332698818771,0.05556982993645311,0.5088571428571428,0.04760952285695233,0.5755117176230947,0.055585317223041004,0.4607692307692306,0.06890384886757799,0.5693548387096772,0.09093667793200244,0.5150620347394539,0.04913688985230311
109,text,All,14,12,unique_contacts,down,0.5080576909546892,0.05676433927807355,0.4697959183673471,0.04748457025412375,0.5510460729797184,0.04808697630422274,0.4745614035087719,0.07224379637606483,0.4631707317073168,0.08473848232671588,0.4688660676080444,0.048075445286189976
110,text,In,14,12,unique_contacts,down,0.5062577987543607,0.05240702471523273,0.4916666666666666,0.0428851711765995,0.56998631307074,0.0450925263302242,0.45799999999999996,0.06531026849750575,0.5368292682926831,0.07108761795029292,0.4974146341463416,0.04285513280542957
111,text,All,14,24,unique_contacts,down,0.5059216213471371,0.052848144237501865,0.4781632653061225,0.04517120428341903,0.5626480931882919,0.04668357914804002,0.4624561403508769,0.06604539978612409,0.5,0.07992178559588035,0.4812280701754387,0.04603260525395658
112,call,Out,14,4,average_length,up,0.5053870023897632,0.07756907337812903,0.5130303030303032,0.0642109700012639,0.5650711188223476,0.07169728182083075,0.4613888888888886,0.09122688095323067,0.5750000000000004,0.08918825850158445,0.5181944444444444,0.06381794113667452
113,text,Out,14,6,unique_contacts,down,0.5051807866311733,0.10885213673414433,0.4872727272727274,0.08534986761372153,0.6034679150828532,0.10046800537154303,0.4445000000000003,0.12530669446110085,0.5530769230769231,0.14284480423503607,0.4987884615384616,0.08543724577928463
114,call,In,14,12,unique_contacts,down,0.5020734078428315,0.07452698815340628,0.5296721311475409,0.0580038153789857,0.6407881725247687,0.08135310814570906,0.41857142857142826,0.08375588602372894,0.6792307692307697,0.10023879205392898,0.5489010989010986,0.05897601361118676
115,text,In,14,24,unique_contacts,down,0.5016416266182432,0.05806965305329127,0.4802083333333334,0.04645516722312378,0.5554318149298391,0.04972348686272888,0.4603636363636365,0.07048328748132286,0.5068292682926829,0.07740713087158001,0.4835964523281595,0.04649933902229388
116,call,In,14,6,unique_contacts,down,0.4991306282668887,0.07428045967723365,0.5172131147540985,0.05737704918032785,0.6166942332891883,0.0714451657598339,0.42485714285714254,0.08427409610047353,0.6415384615384617,0.0971594655587095,0.5331978021978024,0.05794508156360384
117,call,All,14,24,counts,down,0.497887914088769,0.06503984595082943,0.4888571428571427,0.05335883743935785,0.5487828413180099,0.05712966626481504,0.4592307692307692,0.0800201031993675,0.5261290322580644,0.08081702117898301,0.4926799007444168,0.052978085071450826
118,call,Out,14,6,average_length,down,0.4965199795021996,0.06520347008981782,0.5028787878787878,0.051895238031112366,0.5534872443620659,0.05800852474821666,0.4536111111111109,0.07827472714318663,0.5619999999999999,0.07770848283987387,0.5078055555555557,0.05158314061116419
119,call,Out,14,4,counts,up,0.4955632442645764,0.06442451470929901,0.489090909090909,0.049253548224355084,0.5362570206760973,0.05160211812334162,0.4655555555555554,0.08329778516020153,0.5173333333333333,0.08920147059831668,0.4914444444444445,0.049302530297160765
120,call,Out,14,24,counts,up,0.4945716023674261,0.06345506160120934,0.4877272727272727,0.05313165355486299,0.5352325667887983,0.057204501014744114,0.4636111111111111,0.07853715791085644,0.5166666666666665,0.08768118966645214,0.4901388888888889,0.053464250502608834
121,call,Out,14,6,counts,up,0.4928479112482366,0.06395837691345704,0.4845454545454544,0.05430942368022043,0.5316369894763995,0.056795611328586175,0.4633333333333332,0.079834908842617,0.5100000000000001,0.09205229568181234,0.4866666666666665,0.05484961130520172
122,call,All,14,4,counts,down,0.4923471863321995,0.062069903544758075,0.4971428571428571,0.049736473130199375,0.563055109570918,0.06064191994440701,0.4417948717948715,0.07573589632622199,0.5667741935483867,0.09022652342278786,0.5042845326716295,0.050535854699122335
123,call,Out,14,4,average_length,down,0.4923032272356811,0.07838479098384535,0.5146969696969698,0.061872856440146964,0.5726977220157541,0.07582478753438224,0.4369444444444443,0.0901923752137706,0.608,0.09512470402254072,0.5224722222222222,0.0618906194661395
124,call,Out,14,24,counts,down,0.4915534909814342,0.0634839277091507,0.4916666666666666,0.052898958424831305,0.5407437985717872,0.0573927038642431,0.4544444444444444,0.07661061077945078,0.5363333333333333,0.08737280317127713,0.4953888888888888,0.05335019491219525
125,call,Out,14,24,unique_contacts,down,0.4879510210200496,0.07872924625153407,0.5009090909090909,0.055107972464745344,0.5503517210467668,0.061385520139078636,0.4436111111111111,0.09802697239852227,0.5696666666666667,0.07728487393803786,0.5066388888888889,0.0532034271235227
126,text,All,14,4,unique_contacts,down,0.4876672351051705,0.061157546945105876,0.4911224489795918,0.04824779276971952,0.5882074035563394,0.05757260924024549,0.4203508771929822,0.07183575493228618,0.5895121951219511,0.0871547335381221,0.5049315361574664,0.0492056559994059
127,call,Out,14,12,counts,up,0.4866733834034338,0.06808756594653399,0.4765151515151514,0.060313611824699936,0.5232080242929843,0.06347492478598504,0.4588888888888888,0.08220144124200089,0.4976666666666667,0.09758647493268092,0.4782777777777778,0.06104907064045367
128,call,Out,14,4,counts,down,0.4853764128325173,0.06904980127144769,0.4915151515151513,0.05142955491571282,0.5406210010084029,0.05607011135464484,0.4455555555555554,0.08694206438153257,0.5466666666666667,0.09162456945817024,0.4961111111111112,0.05137011669140816
129,text,In,14,6,counts,down,0.4819529825364254,0.0546908662252586,0.4604166666666666,0.04466289433288887,0.5354322913810423,0.049446354741807516,0.4414545454545456,0.06749201101028825,0.4858536585365855,0.08382482645298703,0.4636541019955655,0.04578657900397362
130,text,Out,14,12,unique_contacts,down,0.4817854948231106,0.10779492227880504,0.5015151515151516,0.07587991346465242,0.646923540339949,0.10251753395662827,0.3949999999999999,0.1207091838706031,0.665384615384615,0.12767957547854586,0.5301923076923077,0.07412172786779506
131,call,Out,14,12,counts,down,0.4817580463818314,0.07139204134256223,0.4836363636363637,0.06552151116465363,0.5343325674235734,0.07438813253613018,0.4436111111111111,0.08210419760430898,0.5316666666666671,0.1154092897155055,0.48763888888888896,0.06742966734797222
132,call,In,14,4,unique_contacts,down,0.4801343775212112,0.07818473581013137,0.5068852459016393,0.05753320127833049,0.6077540358193715,0.07904436345367256,0.4031428571428569,0.08821695113720919,0.6465384615384617,0.1049681822627698,0.5248406593406595,0.058468672443642164
133,call,Out,14,12,average_length,up,0.4798279425666728,0.06776919894925264,0.4748484848484846,0.05616660368549448,0.5216141333230869,0.06046306539981985,0.4486111111111109,0.08171597341866259,0.5063333333333335,0.09671309694188156,0.4774722222222224,0.05689312242024976
134,text,All,14,6,unique_contacts,down,0.4790727940270576,0.06757964117909268,0.4898979591836734,0.050042052328931816,0.5875010443381178,0.058861346469398425,0.4078947368421053,0.07687233033196239,0.6039024390243902,0.07387523210914403,0.5058985879332476,0.0487775517874793
135,call,Out,14,6,counts,down,0.4764309416920122,0.07083905068226634,0.4801515151515149,0.055270786982843545,0.5276281673551475,0.06386296301828542,0.43888888888888894,0.08658993984870797,0.5296666666666666,0.0909970954507416,0.4842777777777778,0.0552308411685587
136,call,Out,14,12,average_length,down,0.4697471959319692,0.061944463358039416,0.4739393939393936,0.047771768822882886,0.5214911141321117,0.05578403257372665,0.4313888888888888,0.07485437081446003,0.5250000000000001,0.0877931197435114,0.4781944444444444,0.04839578733938035
137,call,Out,14,12,unique_contacts,down,0.4679174776546059,0.08290960469013804,0.4972727272727273,0.06107790004380114,0.5495598641247681,0.07081126605755053,0.41166666666666657,0.09478712506027212,0.6000000000000003,0.07654139963827325,0.5058333333333334,0.059636190742619236
138,call,Out,14,4,unique_contacts,down,0.4678820899467023,0.07814831138369681,0.4987878787878788,0.05671958591595867,0.5535515516570191,0.07196184464877459,0.4097222222222219,0.08831667321308792,0.6056666666666667,0.08594297694515406,0.5076944444444442,0.05622888125259624
139,text,Out,14,4,unique_contacts,down,0.4659423433689963,0.11257674885032656,0.4706060606060607,0.0813178366164797,0.5932895496746117,0.11798797496770712,0.3925000000000001,0.11814539065631526,0.5907692307692307,0.13867720405198042,0.4916346153846154,0.08202367642766581
140,text,Out,14,24,unique_contacts,down,0.4656494907482275,0.10545842618751293,0.4854545454545455,0.07558658388725402,0.6256122228641072,0.10375661969352988,0.3815000000000001,0.11691639938197056,0.6453846153846152,0.13430478097082152,0.5134423076923078,0.07563534360943132
141,text,In,14,4,unique_contacts,down,0.4639216427014429,0.06345510430945059,0.4669791666666667,0.048634892271003566,0.5464252491255216,0.05850738627485705,0.40672727272727294,0.07501698613891647,0.5478048780487808,0.08272369073359072,0.4772660753880265,0.0487014079377875
142,text,In,14,6,unique_contacts,down,0.4584048212007605,0.0552003409478542,0.4765625,0.04222518659018287,0.5630334935017158,0.05424612685291942,0.3896363636363636,0.06267834559288364,0.593170731707317,0.07911929066392454,0.4914035476718404,0.04341310905871847
143,call,Out,14,6,unique_contacts,down,0.4388872531042438,0.08282185021916298,0.4799999999999998,0.060371446716108036,0.5302312946079606,0.07991221057743818,0.3780555555555556,0.08818596577217924,0.6023333333333336,0.08029896438471054,0.4901944444444444,0.05962306125858199
