pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
3,RFC,up,0.6362774168676278,0.08548929356983917,0.6379166666666668,0.07669132051265846,0.6473861970932404,0.09491975017822633,0.645,0.1353695527986845,0.6308333333333335,0.1531812853218026,0.6379166666666668,0.07669132051265846
4,RFC,up,0.635360053507859,0.07849798721297045,0.6325,0.07066602343903941,0.6356340230117322,0.0776535844272716,0.6533333333333335,0.13747767903716432,0.6116666666666666,0.14420142727235732,0.6325,0.07066602343903944
3,RFC,down,0.6320120765265401,0.09282516720948694,0.6383333333333332,0.08246177225404035,0.6469482633379693,0.0935114022596868,0.6325,0.1350972339696954,0.6441666666666666,0.13805558096050818,0.6383333333333332,0.08246177225404035
2,KNN,up,0.6267133853740279,0.0999884229865785,0.616666666666667,0.089227574464923,0.6124047595421437,0.09255190449663206,0.656666666666667,0.14325461780300672,0.5766666666666665,0.1384741281795418,0.616666666666667,0.08922757446492303
4,RFC,down,0.6234089233774616,0.0831033568916845,0.63125,0.074294049425391,0.6448890239447512,0.09147818802370322,0.6208333333333331,0.12832283834824898,0.6416666666666667,0.14674737601785498,0.63125,0.07429404942539106
5,KNN,up,0.6185046958504146,0.09521470331121765,0.6208333333333332,0.08259351738094084,0.62668848037927,0.09478267885788239,0.6283333333333334,0.14283289035758268,0.6133333333333334,0.1457978552323316,0.6208333333333332,0.08259351738094087
5,KNN,down,0.6183216123497414,0.09643300760169553,0.6229166666666668,0.08084999307650793,0.6302094482315073,0.09358358689312614,0.6258333333333334,0.1433598558187807,0.6200000000000002,0.14666130997257992,0.6229166666666668,0.08084999307650795
2,KNN,down,0.618189739969712,0.10204475995002454,0.6129166666666668,0.08928553391035172,0.6122165866039705,0.0957348799834977,0.6400000000000002,0.1430586201495811,0.5858333333333332,0.14186458743191635,0.6129166666666668,0.08928553391035174
3,KNN,up,0.6176565742936789,0.08995311228880118,0.6116666666666668,0.08074255550427092,0.6127203099188392,0.09194198791054906,0.6383333333333332,0.134642145315551,0.585,0.14408463344060993,0.6116666666666667,0.08074255550427094
5,RFC,up,0.611824962709609,0.08175089420095427,0.6133333333333332,0.07516349556944338,0.6199011797026504,0.08404815708072054,0.6183333333333333,0.12319402451729419,0.6083333333333334,0.1418868362412136,0.6133333333333332,0.07516349556944338
3,KNN,down,0.6114294967340834,0.08924221879302173,0.6091666666666667,0.07579081762268242,0.6104880927895635,0.08156125415302329,0.6283333333333334,0.1378343806831826,0.59,0.1394835753377476,0.6091666666666667,0.07579081762268242
2,RFC,up,0.6102332673241931,0.09475502279418564,0.6162500000000001,0.08276214176777194,0.6240405599302659,0.09343331632438226,0.6124999999999999,0.13627592577608102,0.62,0.14473552644406032,0.6162500000000001,0.08276214176777195
5,RFC,down,0.6088222363358399,0.09453636625175005,0.622916666666667,0.07975811320344336,0.6358724551592198,0.0949024964832669,0.5983333333333334,0.132096536478043,0.6475000000000002,0.13340433715482108,0.622916666666667,0.07975811320344338
4,KNN,down,0.6086865437599258,0.10196173452540847,0.6091666666666665,0.08495476448662946,0.6109402887703971,0.09256460294549897,0.6233333333333332,0.1467378156167882,0.595,0.14164933544214353,0.6091666666666665,0.08495476448662945
2,RFC,down,0.6058686027447865,0.09552756355550943,0.6170833333333333,0.0813516479765917,0.6279979457676826,0.0890874322708866,0.6016666666666667,0.1363814055014628,0.6325000000000002,0.14365313551940548,0.6170833333333333,0.08135164797659172
4,KNN,up,0.6034628594614192,0.09656134503888121,0.6029166666666664,0.08342902754728698,0.6055268855671332,0.09274221533932132,0.6174999999999999,0.1416864711845234,0.5883333333333332,0.14204494949405158,0.6029166666666664,0.08342902754728698
1,LR,up,0.571275457475239,0.10657067243972196,0.5441666666666667,0.08223604169969041,0.5437339958802808,0.08815006090798876,0.6383333333333332,0.2017807924840425,0.44999999999999996,0.20412414523193156,0.5441666666666667,0.08223604169969041
1,LR,down,0.5705728004309796,0.10476796163146185,0.5454166666666667,0.08208129302357507,0.5466919033838541,0.08899973699207853,0.6341666666666665,0.19956989386296684,0.4566666666666668,0.20836868386950191,0.5454166666666667,0.08208129302357507
1,RFC,up,0.5646404495097004,0.10850770469268366,0.5604166666666667,0.09238982427534771,0.5576011283608034,0.09114677093669066,0.584166666666667,0.14769791644775448,0.5366666666666664,0.1304614963129046,0.5604166666666667,0.09238982427534771
1,SVC,down,0.5621730261103504,0.10062287234120552,0.6258333333333335,0.07372656278849612,0.694371815541438,0.13436525772425695,0.4966666666666667,0.14837314564274656,0.755,0.1657466187848437,0.6258333333333335,0.07372656278849612
1,SVC,up,0.5609801321757265,0.10656854102821971,0.6233333333333334,0.07742524724749403,0.6883420666955125,0.13728527603387222,0.4983333333333333,0.15121097413247503,0.7483333333333334,0.1666582489456751,0.6233333333333334,0.07742524724749403
1,RFC,down,0.5588753001330068,0.10341800920755055,0.5608333333333333,0.0891135103835799,0.5617630554859661,0.0922471346353249,0.5683333333333337,0.13933262448871617,0.5533333333333332,0.13479834879278565,0.5608333333333333,0.0891135103835799
5,SVC,up,0.5471092440372048,0.11253739201421092,0.6054166666666664,0.0779973002352999,0.6522931946719468,0.12338592389134481,0.4983333333333334,0.16749792701868155,0.7124999999999997,0.1758317575367818,0.6054166666666664,0.07799730023529988
3,LR,up,0.5466703902703005,0.09648023634768786,0.5466666666666665,0.07995684863160653,0.5493806135385084,0.0867506992789072,0.5625000000000001,0.15460341720204612,0.5308333333333334,0.15608450831960788,0.5466666666666665,0.07995684863160654
4,LR,up,0.5462361041022376,0.09423116280798001,0.5504166666666666,0.07863323741863884,0.5543597902355644,0.08659953314996373,0.5550000000000002,0.1451710551084544,0.5458333333333332,0.1541490343907203,0.5504166666666666,0.07863323741863885
3,LR,down,0.5451013775686105,0.0996648610239209,0.5458333333333332,0.08065998107921432,0.5466887822789527,0.08521490016328473,0.5608333333333333,0.1570700980857986,0.5308333333333332,0.15012854574301854,0.5458333333333332,0.08065998107921432
5,SVC,down,0.5432759197828045,0.10865559673655317,0.6058333333333331,0.075938756409544,0.6563832148243914,0.1167162759631305,0.48833333333333345,0.15534798560971633,0.723333333333333,0.1661946177046185,0.6058333333333331,0.07593875640954402
4,SVC,up,0.5429511224215083,0.10318554210054504,0.6062499999999997,0.07546502858092971,0.6626769464550795,0.1206421574904825,0.48500000000000015,0.15185903735976297,0.7274999999999997,0.18305572799305192,0.6062499999999997,0.07546502858092971
4,LR,down,0.542422214895947,0.09663162132240846,0.5474999999999999,0.07945962982651068,0.5501289612090696,0.08439554939318293,0.5508333333333333,0.14741268411786268,0.5441666666666666,0.14909707667021824,0.5474999999999999,0.07945962982651067
2,LR,down,0.5409634981178937,0.09451328583073033,0.5320833333333331,0.06800400026195068,0.5320254613807247,0.07213587520395534,0.5733333333333334,0.17011582507043232,0.4908333333333335,0.1653546845939713,0.5320833333333331,0.06800400026195068
4,SVC,down,0.5393211136111339,0.10194600122015425,0.6079166666666665,0.07422792839312811,0.6696478081097645,0.12173797755692511,0.47583333333333333,0.15135703028694755,0.7399999999999999,0.18206632897971048,0.6079166666666665,0.07422792839312811
2,SVC,down,0.5371730210795604,0.10209395789847446,0.6170833333333332,0.06999654272366597,0.6931498822814609,0.12276881183533449,0.4608333333333334,0.14862586068597372,0.7733333333333333,0.17249082995844467,0.6170833333333332,0.06999654272366597
3,SVC,up,0.5368643692416876,0.10097686634531569,0.6070833333333332,0.07283515164655031,0.6688312422871246,0.12418354446900975,0.4708333333333334,0.14378979466744168,0.7433333333333333,0.166110182085845,0.6070833333333332,0.07283515164655033
5,LR,down,0.5363887518231637,0.09945509784758096,0.5366666666666666,0.08485149104823593,0.5386987882688348,0.08548943898539531,0.5508333333333331,0.15070680836492453,0.5224999999999997,0.15884641305524116,0.5366666666666666,0.08485149104823592
5,LR,up,0.5363039309660104,0.09589517419753525,0.5349999999999999,0.08432074938385832,0.5383617679620001,0.08728023312133883,0.5508333333333332,0.14501393175843624,0.5191666666666663,0.1636318820311601,0.5349999999999999,0.08432074938385832
3,SVC,down,0.5361650044527045,0.100154169833568,0.6041666666666664,0.07755650342392029,0.6678617771117769,0.12591325762527486,0.4725,0.1450913060564063,0.7358333333333331,0.1913736598007791,0.6041666666666665,0.07755650342392027
2,SVC,up,0.5338565590816772,0.09837075856142793,0.6058333333333333,0.07311510995787833,0.6712335047918235,0.1234698556444685,0.4666666666666666,0.14746263960259023,0.7449999999999997,0.18380716240598355,0.6058333333333333,0.07311510995787833
2,LR,up,0.5337071251912835,0.10402011825539041,0.5254166666666668,0.08031027618030666,0.5252893474774281,0.08407522282782136,0.5641666666666665,0.17076402880979802,0.48666666666666664,0.1682250376717547,0.5254166666666668,0.08031027618030666
1,KNN,up,0.5329502941588562,0.11558599263774778,0.5520833333333335,0.09238982427534771,0.5597813494554982,0.10683161411415018,0.5283333333333334,0.15588889248867865,0.5758333333333335,0.16416258604715023,0.5520833333333335,0.09238982427534773
1,KNN,down,0.5283303317261345,0.12357822515198999,0.5541666666666668,0.09521742500557008,0.5629449644352895,0.11511685722292288,0.5191666666666667,0.1644870099156053,0.5891666666666667,0.1616479214374577,0.5541666666666668,0.09521742500557008
